                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.1162,                 1.1438,                 1.1983,                 1.2072,                0.98851,                      1,                  0.995,                0.72881,                0.98851,                      1,                  0.995,                0.83005,                 1.2159,                0.94978,                 1.3369,                 1.3606,              0.0019274,              0.0019274,              0.0019274
                     25,                 1.0885,                 1.0935,                 1.1189,                 1.1555,                      1,                 0.9549,                  0.995,                0.63989,                      1,                 0.9549,                  0.995,                0.82207,                 1.1376,                  1.056,                 1.5872,                 1.4901,              0.0019241,              0.0019241,              0.0019241
                     26,                 1.0572,                 1.0348,                 1.0721,                 1.1455,                      1,                0.93305,                  0.995,                 0.6539,                      1,                0.93305,                  0.995,                 0.8003,                0.95438,                 1.1005,                 1.7614,                 1.4203,              0.0019208,              0.0019208,              0.0019208
                     27,                 1.0273,                 1.0547,                 1.0355,                 1.1574,                      1,                0.86252,                0.94158,                0.61468,                      1,                0.86252,                0.94158,                0.76371,                 1.0178,                 1.2247,                  1.897,                 1.3664,              0.0019175,              0.0019175,              0.0019175
                     28,                0.95998,                  1.125,                 1.0243,                 1.1621,                0.90939,                      1,                0.98688,                0.67474,                0.90939,                      1,                0.98688,                0.80032,                  1.128,                 1.1305,                 1.4335,                 1.5735,              0.0019142,              0.0019142,              0.0019142
                     29,                 1.0941,                 1.0622,                 1.0426,                 1.1839,                0.93728,                0.99641,                0.99125,                0.65279,                0.93728,                0.99641,                0.99125,                0.81362,                 1.0354,                 1.0284,                 1.2087,                 1.4947,              0.0019109,              0.0019109,              0.0019109
                     30,                 0.9659,                 1.0258,                0.93683,                  1.115,                0.99729,                      1,                  0.995,                 0.6853,                0.99729,                      1,                  0.995,                0.78758,                  0.912,                 1.0441,                 1.1134,                 1.2628,              0.0019076,              0.0019076,              0.0019076
                     31,                0.96159,                 1.1545,                 0.9405,                 1.0924,                      1,                0.92514,                0.98794,                0.75432,                      1,                0.92514,                0.98794,                0.81632,                0.90979,                 1.0476,                 1.0795,                 1.2282,              0.0019043,              0.0019043,              0.0019043
                     32,                0.88113,                 0.9965,                0.86401,                 1.0799,                0.99693,                0.93333,                0.98794,                0.68682,                0.99693,                0.93333,                0.98794,                0.82149,                0.98013,                 1.0496,                 1.1355,                   1.28,               0.001901,               0.001901,               0.001901
                     33,                 1.0021,                 1.1783,                0.98628,                 1.1307,                0.91617,                0.93333,                0.96946,                 0.6745,                0.91617,                0.93333,                0.97533,                 0.8194,                 1.0008,                0.87404,                 1.2635,                 1.3693,              0.0018977,              0.0018977,              0.0018977
                     34,                0.97979,                 1.0146,                0.94108,                  1.114,                0.99573,                0.86667,                0.96911,                0.60213,                0.99573,                0.86667,                0.97625,                0.80453,                 1.2221,                0.89198,                 1.2496,                 1.4581,              0.0018944,              0.0018944,              0.0018944
                     35,                 1.0583,                 1.0766,                 0.9259,                 1.1643,                0.98963,                0.86667,                0.97362,                0.67994,                0.97778,                      1,                  0.995,                0.81408,                 1.2043,                0.92278,                  1.156,                 1.2812,              0.0018911,              0.0018911,              0.0018911
                     36,                 1.0582,                 1.0658,                0.94075,                 1.1435,                      1,                0.99297,                  0.995,                0.70306,                      1,                0.99297,                  0.995,                0.82224,                 1.0081,                0.97201,                 1.0535,                 1.2207,              0.0018878,              0.0018878,              0.0018878
                     37,                0.98152,                 1.1688,                0.87635,                 1.1091,                      1,                0.99964,                  0.995,                0.72634,                      1,                0.99964,                  0.995,                0.80845,                0.95998,                 1.0523,                 1.0526,                 1.3097,              0.0018845,              0.0018845,              0.0018845
                     38,                0.88124,                 1.0024,                0.89159,                 1.0697,                0.99394,                      1,                  0.995,                0.80702,                0.99394,                      1,                  0.995,                0.80815,                0.95573,                0.94371,                0.87498,                 1.4499,              0.0018812,              0.0018812,              0.0018812
                     39,                0.88807,                0.95168,                0.84213,                 1.0937,                0.96941,                0.93333,                0.98794,                0.75842,                0.96941,                0.93333,                0.98794,                0.80156,                 1.0267,                0.86408,                0.96967,                 1.4584,              0.0018779,              0.0018779,              0.0018779
                     40,                0.94001,                  1.023,                0.93299,                 1.1243,                0.99195,                0.93333,                  0.985,                0.76136,                0.99195,                0.93333,                  0.985,                0.80132,                0.87489,                0.84973,                0.92147,                 1.3537,              0.0018746,              0.0018746,              0.0018746
                     41,                 1.0298,                 1.0968,                0.96379,                 1.1147,                0.93705,                0.99282,                0.99125,                0.75951,                0.93705,                0.99282,                0.99125,                0.83721,                0.92042,                0.99403,                0.88207,                 1.3636,              0.0018713,              0.0018713,              0.0018713
                     42,                0.94853,                0.95575,                0.85148,                 1.1218,                0.91174,                      1,                0.98688,                0.64461,                0.91174,                      1,                0.98688,                0.82481,                 1.1159,                0.99101,                 1.0486,                 1.4532,               0.001868,               0.001868,               0.001868
                     43,                0.95258,                0.93039,                0.84642,                 1.1015,                      1,                0.99692,                  0.995,                 0.6934,                      1,                0.99692,                  0.995,                0.83944,                 1.0556,                0.93613,                 1.0844,                 1.3356,              0.0018647,              0.0018647,              0.0018647
                     44,                0.91276,                0.99252,                0.78571,                 1.0719,                0.99265,                      1,                  0.995,                0.71996,                0.99265,                      1,                  0.995,                0.82046,                0.97664,                0.91907,                 1.0755,                 1.3022,              0.0018614,              0.0018614,              0.0018614
                     45,                0.88461,                0.94438,                0.79414,                 1.1067,                0.98367,                      1,                  0.995,                0.72189,                0.98367,                      1,                  0.995,                0.81647,                0.98851,                 1.0545,                 1.1334,                 1.2782,              0.0018581,              0.0018581,              0.0018581
                     46,                0.89635,                 1.0288,                 0.7871,                 1.0886,                0.93673,                      1,                  0.995,                0.79585,                0.93673,                      1,                  0.995,                  0.852,                0.89689,                0.92383,                 0.9963,                 1.1587,              0.0018548,              0.0018548,              0.0018548
                     47,                0.87132,                0.92697,                0.73975,                 1.0649,                0.99803,                      1,                  0.995,                0.72617,                0.99803,                      1,                  0.995,                0.83895,                 1.0599,                0.92289,                0.78113,                 1.2323,              0.0018515,              0.0018515,              0.0018515
                     48,                0.91857,                 1.0556,                0.79792,                 1.0969,                      1,                0.99517,                  0.995,                0.72654,                      1,                0.99517,                  0.995,                 0.8475,                 1.0511,                0.97805,                0.74552,                 1.2497,              0.0018482,              0.0018482,              0.0018482
                     49,                0.87912,                0.99155,                0.72432,                 1.0451,                      1,                0.92599,                0.96833,                0.72856,                      1,                0.92599,                0.96833,                0.82964,                0.91832,                0.81349,                0.87276,                 1.2163,              0.0018449,              0.0018449,              0.0018449
                     50,                0.84907,                0.98659,                 0.6983,                 1.0375,                      1,                0.92978,                0.96833,                0.71122,                      1,                0.92978,                0.96833,                 0.8238,                0.81988,                0.77626,                0.82564,                    1.2,              0.0018416,              0.0018416,              0.0018416
