                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 2.5847,                 2.5494,                 2.8099,                 3.0125,                0.45737,                0.41176,                0.36921,                0.08547,                0.68942,                0.70588,                0.74117,                0.22308,                 3.1299,                 4.7087,                 9.0632,                 3.6625,              0.0019274,              0.0019274,              0.0019274
                     25,                 2.5591,                 2.3838,                 2.7911,                 2.9624,                0.50213,                0.29412,                0.31665,                0.06798,                  0.688,                0.64865,                0.77761,                0.30207,                 3.0798,                 2.0086,                 4.8815,                 3.4185,              0.0019241,              0.0019241,              0.0019241
                     26,                 2.4745,                  2.412,                 2.7185,                 2.8304,                0.34698,                0.52941,                0.42514,                0.09605,                0.50935,                0.55031,                0.54633,                0.26576,                 2.8805,                 2.0909,                 3.9301,                 3.1693,              0.0019208,              0.0019208,              0.0019208
                     27,                 2.5582,                 2.2865,                 2.6327,                 2.9492,                0.34698,                0.52941,                0.42514,                0.09605,                0.50935,                0.55031,                0.54633,                0.26576,                 2.8805,                 2.0909,                 3.9301,                 3.1693,              0.0019175,              0.0019175,              0.0019175
                     28,                 2.3854,                 2.2144,                 2.7515,                 2.8163,                0.19374,                0.35294,                0.17328,                0.03539,                0.33961,                0.52941,                 0.2891,                0.11046,                 2.9367,                 2.1387,                 4.2667,                 3.2114,              0.0019142,              0.0019142,              0.0019142
                     29,                 2.4919,                 2.3758,                 2.7685,                 2.8872,                0.32339,                0.47059,                0.42936,                0.10561,                0.45019,                0.58824,                0.53744,                 0.2694,                 2.8752,                 2.0777,                 5.2062,                 3.1645,              0.0019109,              0.0019109,              0.0019109
                     30,                 2.6418,                   2.36,                 2.8154,                 2.9114,                0.41509,                0.76471,                0.53358,                0.15619,                0.41509,                0.76471,                0.56225,                0.30704,                 2.7182,                 2.0866,                 6.1461,                 3.0685,              0.0019076,              0.0019076,              0.0019076
                     31,                 2.5278,                 2.3408,                 2.8066,                 2.8526,                0.33088,                0.64706,                0.41193,                0.10466,                0.33088,                0.64706,                0.45346,                0.24154,                 2.9036,                 2.0432,                 5.0957,                  3.343,              0.0019043,              0.0019043,              0.0019043
                     32,                 2.5759,                 2.0789,                 2.7575,                 2.8636,                0.08163,                0.47059,                0.12585,                0.03506,                0.10203,                0.58824,                0.15598,                 0.0689,                 3.1351,                 2.2111,                 6.8827,                 3.8121,               0.001901,               0.001901,               0.001901
                     33,                 2.4574,                 2.0984,                 2.7206,                 2.7933,                0.05515,                0.47059,                0.06502,                0.01413,                 0.1375,                0.82353,                0.17358,                0.04599,                 3.1866,                 2.7148,                 7.8418,                 3.9857,              0.0018977,              0.0018977,              0.0018977
                     34,                 2.3783,                 1.8984,                 2.5691,                 2.7931,                  0.225,                0.64706,                0.27759,                0.06454,                0.51584,                0.58824,                0.61967,                 0.2167,                 3.0938,                 1.6512,                 4.5154,                 3.5466,              0.0018944,              0.0018944,              0.0018944
                     35,                 2.4366,                 1.9701,                 2.5079,                 2.7905,                0.37604,                0.35294,                0.34865,                0.09026,                0.44728,                0.47059,                0.53728,                0.21277,                 2.6845,                 1.4115,                 3.2056,                 3.0266,              0.0018911,              0.0018911,              0.0018911
                     36,                  2.404,                 2.2241,                 2.6065,                 2.8417,                0.45124,                0.35294,                0.41946,                0.11768,                 0.5406,                0.41176,                 0.5178,                0.24468,                 2.6024,                 1.4283,                 3.4018,                 2.9916,              0.0018878,              0.0018878,              0.0018878
                     37,                 2.2865,                 1.7589,                 2.4216,                 2.8244,                0.54789,                0.57098,                0.59205,                0.22051,                0.51217,                0.64706,                0.62232,                0.34541,                 2.6745,                 1.7318,                 4.2675,                 3.0443,              0.0018845,              0.0018845,              0.0018845
                     38,                 2.4818,                 1.8719,                 2.5832,                 2.7816,                0.46825,                0.72569,                0.63676,                0.22404,                0.50624,                0.78451,                0.65571,                0.31207,                 2.6387,                  2.038,                 4.3717,                 3.0105,              0.0018812,              0.0018812,              0.0018812
                     39,                 2.3928,                 1.7902,                  2.435,                 2.7874,                0.55096,                0.82353,                0.67406,                0.19803,                0.55531,                0.80847,                0.69278,                0.40338,                 2.8933,                 1.1566,                 4.2451,                 3.3186,              0.0018779,              0.0018779,              0.0018779
                     40,                  2.307,                 1.7043,                 2.3504,                 2.7279,                0.47584,                0.82353,                 0.6738,                0.18507,                0.51574,                0.88235,                0.74309,                0.40146,                 2.8264,                 1.1694,                 3.9693,                 3.2114,              0.0018746,              0.0018746,              0.0018746
                     41,                 2.2755,                  1.719,                 2.4349,                 2.8113,                 0.9145,                0.63025,                0.80001,                0.34968,                 0.9145,                0.63025,                0.80001,                0.47795,                 2.4888,                 1.2205,                 2.7628,                 2.8664,              0.0018713,              0.0018713,              0.0018713
                     42,                 2.3215,                 1.6391,                   2.29,                 2.6823,                0.68026,                0.76471,                0.84014,                0.31525,                0.68026,                0.76471,                0.84014,                0.51119,                 2.5021,                 1.4247,                 2.2707,                 2.8305,               0.001868,               0.001868,               0.001868
                     43,                 2.3243,                 1.8401,                 2.4104,                 2.7379,                0.68026,                0.76471,                0.84014,                0.31525,                0.68026,                0.76471,                0.84014,                0.51119,                 2.5021,                 1.4247,                 2.2707,                 2.8305,              0.0018647,              0.0018647,              0.0018647
                     44,                  2.293,                 1.8043,                 2.2944,                  2.709,                0.16204,                0.58824,                0.17633,                0.04392,                0.16204,                0.58824,                0.17633,                0.07775,                 2.7483,                 2.0135,                  3.081,                  2.948,              0.0018614,              0.0018614,              0.0018614
                     45,                 2.3805,                 1.9025,                 2.3971,                  2.726,                0.03109,                0.52941,                0.03304,                0.00856,                0.03109,                0.52941,                0.03304,                0.01228,                 2.8078,                 2.1726,                 6.1739,                 2.9468,              0.0018581,              0.0018581,              0.0018581
                     46,                 2.3938,                 1.6791,                 2.2337,                 2.7766,                0.68907,                0.65209,                0.75017,                0.19258,                0.81476,                0.77677,                0.88561,                0.46372,                 2.6634,                 1.4179,                 3.7783,                 2.8918,              0.0018548,              0.0018548,              0.0018548
                     47,                 2.4812,                 1.7642,                 2.4279,                 2.7407,                0.68085,                0.70588,                0.63418,                0.14493,                0.81608,                0.78379,                0.88548,                0.45791,                 2.8663,                 1.5953,                 3.3619,                 3.1158,              0.0018515,              0.0018515,              0.0018515
                     48,                 2.2888,                 1.5605,                 2.2432,                 2.6463,                 0.4713,                0.58824,                0.49404,                0.11086,                0.66639,                0.82353,                0.88348,                0.44113,                 2.8582,                 1.7458,                 3.2525,                 3.2178,              0.0018482,              0.0018482,              0.0018482
                     49,                 2.4489,                  1.711,                 2.3156,                 2.7683,                0.53089,                0.76471,                 0.6488,                 0.1448,                0.63893,                0.82353,                0.83013,                0.44587,                 2.8243,                 1.7552,                 3.5192,                 3.1732,              0.0018449,              0.0018449,              0.0018449
                     50,                 2.3271,                  1.742,                  2.235,                 2.6585,                0.41063,                0.58824,                0.52513,                0.12193,                0.49276,                0.70588,                0.66883,                0.31614,                 2.7403,                 1.9914,                 4.4976,                 3.0925,              0.0018416,              0.0018416,              0.0018416
                     51,                 2.3624,                 1.8299,                  2.343,                 2.6783,                0.35434,                0.70588,                0.36524,                0.11284,                0.35434,                0.70588,                0.36524,                 0.2031,                 2.7404,                 1.3402,                 4.2255,                 3.1167,              0.0018383,              0.0018383,              0.0018383
