                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.3594,                 1.1856,                 1.2151,                0.89395,                      1,                  0.995,                0.57289,                 1.2117,                 1.2617,                 1.0072,              0.0018878,              0.0018878,              0.0018878
                     37,                  1.302,                0.94663,                 1.0349,                0.89395,                      1,                  0.995,                0.57289,                 1.2117,                 1.2617,                 1.0072,              0.0018845,              0.0018845,              0.0018845
                     38,                 1.4598,                0.95426,                 1.1582,                0.89395,                      1,                  0.995,                0.57289,                 1.2117,                 1.2617,                 1.0072,              0.0018812,              0.0018812,              0.0018812
                     39,                 1.3648,                0.98411,                 1.1062,                0.64001,                      1,                  0.995,                0.54781,                 1.5141,                 1.3244,                 1.0697,              0.0018779,              0.0018779,              0.0018779
                     40,                 1.5386,                 1.1259,                 1.0723,                0.64001,                      1,                  0.995,                0.54781,                 1.5141,                 1.3244,                 1.0697,              0.0018746,              0.0018746,              0.0018746
                     41,                 1.4039,                 1.0626,                 1.1591,                 0.9559,                      1,                  0.995,                0.54764,                 1.7624,                 1.2221,                 1.1394,              0.0018713,              0.0018713,              0.0018713
                     42,                 1.5142,                 1.0996,                 1.1979,                 0.9559,                      1,                  0.995,                0.54764,                 1.7624,                 1.2221,                 1.1394,               0.001868,               0.001868,               0.001868
                     43,                 1.3283,                 1.1057,                 1.0499,                 0.9559,                      1,                  0.995,                0.54764,                 1.7624,                 1.2221,                 1.1394,              0.0018647,              0.0018647,              0.0018647
                     44,                 1.5048,                 1.0816,                 1.1736,                0.81737,                      1,                  0.995,                0.40019,                 1.8425,                 1.1961,                  1.202,              0.0018614,              0.0018614,              0.0018614
                     45,                 1.2703,                0.98608,                 1.0392,                0.81737,                      1,                  0.995,                0.40019,                 1.8425,                 1.1961,                  1.202,              0.0018581,              0.0018581,              0.0018581
                     46,                 1.3873,                 0.9972,                 1.1593,                0.81737,                      1,                  0.995,                0.40019,                 1.8425,                 1.1961,                  1.202,              0.0018548,              0.0018548,              0.0018548
                     47,                 1.4337,                0.97226,                 1.0457,                0.96295,                      1,                  0.995,                0.47312,                 1.8048,                 1.1701,                 1.2064,              0.0018515,              0.0018515,              0.0018515
                     48,                   1.47,                0.94906,                 1.1049,                0.96295,                      1,                  0.995,                0.47312,                 1.8048,                 1.1701,                 1.2064,              0.0018482,              0.0018482,              0.0018482
                     49,                 1.4812,                 1.0151,                  1.098,                0.96279,                      1,                  0.995,                0.54727,                 1.6382,                 1.1267,                 1.1621,              0.0018449,              0.0018449,              0.0018449
                     50,                 1.3599,                0.89958,                 1.0765,                0.96279,                      1,                  0.995,                0.54727,                 1.6382,                 1.1267,                 1.1621,              0.0018416,              0.0018416,              0.0018416
                     51,                 1.4478,                 1.0318,                 1.2531,                0.96279,                      1,                  0.995,                0.54727,                 1.6382,                 1.1267,                 1.1621,              0.0018383,              0.0018383,              0.0018383
                     52,                 1.4056,                0.92331,                 1.1016,                0.95337,                      1,                  0.995,                0.59693,                 1.3897,                   1.12,                 1.2367,               0.001835,               0.001835,               0.001835
