                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.79713,                0.93168,                0.95094,                 1.1799,                 0.8914,                0.94118,                0.96509,                0.71019,                 0.8914,                0.94118,                0.96933,                0.79667,                 1.4312,                 1.0778,                 1.5279,                 1.6622,              0.0016065,              0.0016065,              0.0016065
                     25,                0.80214,                0.89861,                0.90114,                  1.174,                0.84132,                0.94476,                 0.9612,                0.67819,                0.84132,                0.94476,                  0.962,                0.81987,                 1.3503,                0.92503,                 1.5086,                 1.6179,              0.0016037,              0.0016037,              0.0016037
                     26,                0.80902,                 1.0313,                0.89825,                  1.167,                 0.8449,                0.95082,                 0.9513,                0.69698,                 0.8449,                0.95082,                 0.9513,                0.80691,                 1.2234,                0.83887,                 1.3945,                 1.5455,               0.001601,               0.001601,               0.001601
                     27,                0.75686,                0.94107,                0.86905,                  1.143,                0.86808,                0.94579,                0.92607,                0.63066,                0.86808,                0.94579,                0.92695,                0.77248,                 1.1814,                0.96301,                 1.4496,                  1.539,              0.0015982,              0.0015982,              0.0015982
                     28,                0.79173,                0.90197,                0.87837,                 1.1847,                0.86527,                0.92562,                0.97806,                0.73236,                0.86527,                0.92562,                0.97806,                0.82312,                 1.1024,                 0.9115,                 1.3128,                 1.4427,              0.0015955,              0.0015955,              0.0015955
                     29,                0.77014,                0.87512,                0.84212,                 1.1492,                0.97758,                0.97059,                0.99237,                0.73985,                0.97758,                0.97059,                0.99237,                0.86285,                 1.1865,                 0.7042,                 1.2084,                 1.5413,              0.0015927,              0.0015927,              0.0015927
                     30,                0.71349,                0.87758,                0.80582,                 1.1096,                0.97671,                0.99557,                  0.995,                0.73888,                0.97671,                0.99557,                  0.995,                0.85339,                 1.1177,                0.67782,                 1.1623,                 1.5652,                0.00159,                0.00159,                0.00159
                     31,                0.74422,                  1.022,                0.82143,                 1.1284,                0.97284,                0.90076,                0.97272,                0.73999,                0.97284,                0.90076,                0.98598,                0.86263,                 1.1619,                0.74186,                 1.3018,                 1.3044,              0.0015872,              0.0015872,              0.0015872
                     32,                0.69134,                0.83466,                0.77779,                 1.1078,                0.96712,                0.97059,                0.99361,                0.74292,                0.96712,                0.97059,                0.99361,                0.87975,                 1.0504,                0.81114,                 1.1518,                 1.3471,              0.0015845,              0.0015845,              0.0015845
                     33,                0.70937,                0.84043,                0.80932,                 1.1167,                 0.9788,                0.97059,                0.99125,                0.72688,                 0.9788,                0.97059,                0.99125,                0.85053,                 1.2733,                0.91719,                 1.1816,                  1.597,              0.0015817,              0.0015817,              0.0015817
                     34,                0.69531,                0.88551,                0.76596,                 1.1105,                 0.9805,                0.97059,                0.98932,                0.76814,                 0.9805,                0.97059,                0.98932,                0.84987,                 1.1935,                0.92713,                 1.1061,                 1.5315,               0.001579,               0.001579,               0.001579
                     35,                 0.7482,                0.93204,                 0.7912,                 1.1507,                0.96419,                0.97059,                0.99237,                0.77213,                0.96419,                0.97059,                0.99237,                0.82681,                 1.1369,                0.94008,                 1.0252,                 1.5137,              0.0015762,              0.0015762,              0.0015762
                     36,                0.67964,                0.82316,                0.71295,                 1.0907,                0.97447,                0.98253,                  0.995,                0.75799,                0.97447,                0.98253,                  0.995,                0.82617,                 1.0727,                0.94236,                 1.0256,                 1.4327,              0.0015735,              0.0015735,              0.0015735
                     37,                0.76918,                0.94699,                 0.7668,                 1.1197,                0.97614,                0.99528,                  0.995,                0.80066,                0.97614,                0.99528,                  0.995,                0.85353,                 1.0049,                 1.0449,                 1.0367,                  1.246,              0.0015707,              0.0015707,              0.0015707
                     38,                0.71587,                0.91442,                0.74219,                  1.109,                0.97428,                0.96147,                0.99125,                0.77988,                0.97428,                0.96147,                0.99125,                 0.8569,                 1.0639,                0.96165,                 1.1036,                 1.3512,               0.001568,               0.001568,               0.001568
                     39,                0.68849,                0.82819,                0.72307,                 1.0949,                0.93822,                0.94118,                  0.983,                0.74033,                0.93822,                0.94118,                  0.983,                0.82908,                 1.1149,                0.77798,                 1.1234,                 1.4716,              0.0015652,              0.0015652,              0.0015652
                     40,                 0.6767,                0.84619,                0.71489,                 1.1195,                0.89399,                0.91176,                0.98476,                 0.7508,                0.89399,                0.91176,                0.98476,                0.82906,                 1.0277,                 1.0742,                 1.2355,                 1.4031,              0.0015625,              0.0015625,              0.0015625
                     41,                0.68805,                0.82672,                0.73088,                  1.101,                0.90186,                0.97059,                0.99237,                0.77794,                0.90186,                0.97059,                0.99237,                0.86487,                0.99269,                 1.2863,                 1.0622,                 1.2991,              0.0015597,              0.0015597,              0.0015597
                     42,                0.67292,                0.79241,                0.70514,                 1.1061,                0.90769,                0.94211,                  0.995,                0.79835,                0.90769,                0.94211,                  0.995,                0.87198,                0.98469,                 1.1354,                0.97561,                 1.2468,               0.001557,               0.001557,               0.001557
                     43,                0.67965,                0.83728,                 0.7063,                 1.1093,                0.81945,                0.95556,                0.99361,                0.76304,                0.81945,                0.95556,                0.99361,                0.85747,                 1.0587,                0.94682,                 1.0787,                 1.2569,              0.0015542,              0.0015542,              0.0015542
                     44,                0.67857,                0.82007,                0.67042,                 1.0853,                0.94832,                0.94833,                0.99361,                 0.7647,                0.94832,                0.94833,                0.99361,                0.85716,                 1.0743,                0.89996,                0.98035,                 1.2656,              0.0015515,              0.0015515,              0.0015515
                     45,                0.66057,                0.86789,                0.67539,                 1.0901,                0.97455,                0.96617,                0.99237,                 0.7808,                0.97455,                0.96617,                0.99237,                0.86637,                 1.0258,                0.78607,                0.91009,                 1.3453,              0.0015487,              0.0015487,              0.0015487
                     46,                 0.6858,                0.77104,                0.66428,                 1.0849,                0.97602,                0.99721,                  0.995,                0.81495,                0.97602,                0.99721,                  0.995,                0.86815,                0.92393,                0.83624,                 0.9383,                 1.2819,               0.001546,               0.001546,               0.001546
                     47,                0.64637,                0.83662,                0.64201,                 1.0807,                 0.9837,                      1,                  0.995,                0.84663,                 0.9837,                      1,                  0.995,                 0.8983,                0.83796,                0.80754,                0.87717,                  1.248,              0.0015432,              0.0015432,              0.0015432
                     48,                0.63538,                0.80076,                0.66139,                  1.088,                0.99393,                      1,                  0.995,                 0.7875,                0.99393,                      1,                  0.995,                0.88591,                 1.0279,                0.79381,                0.84502,                 1.3611,              0.0015405,              0.0015405,              0.0015405
                     49,                0.65187,                0.84501,                0.64606,                 1.0621,                0.98602,                      1,                  0.995,                0.73618,                0.98602,                      1,                  0.995,                0.86826,                 1.3245,                0.78238,                0.84922,                 1.6767,              0.0015377,              0.0015377,              0.0015377
