                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0981,                 1.2837,                 1.2366,                      1,                0.97195,                  0.995,                0.62464,                 1.2937,                 1.4799,                 1.6371,              0.0018911,              0.0018911,              0.0018911
                     36,                 1.0897,                 1.2727,                 1.2631,                0.91762,                      1,                0.98889,                0.70299,                 1.0941,                  1.669,                  1.559,              0.0018878,              0.0018878,              0.0018878
                     37,                0.98737,                  1.106,                 1.1707,                0.77855,                0.94118,                0.93108,                0.61819,                 1.2746,                 1.5539,                 1.7532,              0.0018845,              0.0018845,              0.0018845
                     38,                0.96206,                 1.0743,                  1.169,                0.75536,                0.94118,                0.93778,                0.61312,                 1.2707,                 1.6011,                  1.669,              0.0018812,              0.0018812,              0.0018812
                     39,                 1.0348,                 1.0708,                 1.2068,                0.98728,                      1,                  0.995,                0.66633,                 1.2687,                 1.4786,                 1.6404,              0.0018779,              0.0018779,              0.0018779
                     40,                 1.0818,                 1.1648,                 1.2712,                0.99635,                      1,                  0.995,                0.68831,                 1.1825,                 1.2463,                 1.5267,              0.0018746,              0.0018746,              0.0018746
                     41,                0.85243,                0.96381,                 1.1185,                0.99327,                      1,                  0.995,                0.71695,                 1.0027,                  1.201,                 1.4321,              0.0018713,              0.0018713,              0.0018713
                     42,                0.99214,                0.99982,                 1.1625,                0.94211,                      1,                0.99222,                0.71148,                0.96976,                  1.338,                 1.4583,               0.001868,               0.001868,               0.001868
                     43,                 1.0259,                 1.0358,                 1.1833,                0.94211,                      1,                0.99222,                0.71148,                0.96976,                  1.338,                 1.4583,              0.0018647,              0.0018647,              0.0018647
                     44,                 0.9934,                 1.0736,                 1.1643,                0.98882,                      1,                  0.995,                 0.6263,                 1.3972,                 1.3294,                 1.6133,              0.0018614,              0.0018614,              0.0018614
                     45,                 1.0993,                 1.1255,                 1.2041,                      1,                0.98747,                  0.995,                0.67463,                 1.3419,                 1.3277,                 1.5558,              0.0018581,              0.0018581,              0.0018581
                     46,                 1.1392,                 1.0979,                 1.2982,                0.99263,                      1,                  0.995,                0.77721,                0.90216,                 1.2725,                 1.3118,              0.0018548,              0.0018548,              0.0018548
                     47,                 1.2397,                 1.1078,                  1.255,                0.88077,                      1,                0.96503,                0.71181,                0.95609,                 1.4975,                 1.3409,              0.0018515,              0.0018515,              0.0018515
                     48,                  1.045,                 1.0447,                 1.2177,                0.92153,                      1,                0.96889,                0.69127,                 1.1559,                 1.5722,                 1.4754,              0.0018482,              0.0018482,              0.0018482
                     49,                  1.001,                 1.0318,                 1.1971,                0.99266,                      1,                  0.995,                0.76863,                0.99701,                 1.1815,                 1.3833,              0.0018449,              0.0018449,              0.0018449
                     50,                 1.0392,                 1.0777,                 1.1996,                0.99128,                      1,                  0.995,                 0.7113,                 1.0924,                 1.2311,                 1.4367,              0.0018416,              0.0018416,              0.0018416
                     51,                0.96174,                0.92816,                 1.1959,                0.99181,                      1,                  0.995,                0.72121,                 1.0813,                  1.176,                 1.4494,              0.0018383,              0.0018383,              0.0018383
                     52,                0.94553,                0.92066,                 1.1458,                0.99464,                      1,                  0.995,                  0.791,                0.88627,                 1.0934,                 1.3482,               0.001835,               0.001835,               0.001835
                     53,                0.92488,                0.95401,                 1.1626,                0.98381,                      1,                  0.995,                0.77393,                0.88212,                 1.1256,                 1.3273,              0.0018317,              0.0018317,              0.0018317
                     54,                0.96317,                0.89709,                 1.1479,                0.98994,                      1,                  0.995,                0.70866,                0.87328,                 1.1225,                 1.3228,              0.0018284,              0.0018284,              0.0018284
                     55,                0.93447,                0.94536,                 1.1675,                0.98738,                      1,                  0.995,                0.71701,                0.89789,                 1.1008,                 1.3395,              0.0018251,              0.0018251,              0.0018251
                     56,                0.90703,                 0.8905,                 1.1268,                0.94385,                0.98924,                0.99222,                0.66159,                 1.1724,                 1.1044,                 1.5028,              0.0018218,              0.0018218,              0.0018218
                     57,                  1.002,                0.93372,                 1.1791,                0.98626,                      1,                  0.995,                0.70457,                 1.2387,                 1.1455,                 1.6028,              0.0018185,              0.0018185,              0.0018185
                     58,                0.94232,                0.87981,                 1.1823,                0.99383,                      1,                  0.995,                0.72322,                 1.1961,                 1.1549,                 1.5118,              0.0018152,              0.0018152,              0.0018152
                     59,                0.89022,                0.83924,                 1.1203,                0.99383,                      1,                  0.995,                0.72322,                 1.1961,                 1.1549,                 1.5118,              0.0018119,              0.0018119,              0.0018119
                     60,                 0.8397,                0.80216,                 1.0883,                0.93898,                      1,                0.99222,                0.72813,                 1.1948,                 1.2737,                 1.5644,              0.0018086,              0.0018086,              0.0018086
                     61,                0.88025,                0.84002,                 1.1107,                0.94034,                      1,                  0.995,                0.68986,                 1.1509,                 1.4084,                 1.5139,              0.0018053,              0.0018053,              0.0018053
                     62,                 0.8631,                0.82353,                 1.1275,                0.98379,                      1,                  0.995,                0.64534,                0.97367,                 1.1663,                 1.4311,               0.001802,               0.001802,               0.001802
                     63,                0.93231,                0.88373,                 1.1312,                0.94368,                0.98621,                0.99222,                0.68089,                0.93533,                 1.1481,                 1.4476,              0.0017987,              0.0017987,              0.0017987
                     64,                0.85132,                0.80033,                 1.1298,                 0.9442,                0.99555,                0.99222,                0.66908,                0.91394,                 1.4138,                 1.3997,              0.0017954,              0.0017954,              0.0017954
                     65,                0.90615,                0.83438,                 1.0869,                      1,                0.97766,                  0.995,                0.58018,                 1.0675,                 1.6622,                 1.4329,              0.0017921,              0.0017921,              0.0017921
                     66,                0.86715,                0.83327,                 1.1191,                0.98341,                      1,                  0.995,                 0.6786,                0.95251,                 1.3803,                 1.3717,              0.0017888,              0.0017888,              0.0017888
                     67,                0.83734,                0.79822,                 1.1253,                0.97938,                      1,                  0.995,                0.75867,                0.88862,                 1.1279,                 1.3144,              0.0017855,              0.0017855,              0.0017855
                     68,                0.84683,                0.78151,                 1.0898,                0.99079,                      1,                  0.995,                0.81995,                0.90997,                 1.1935,                  1.315,              0.0017822,              0.0017822,              0.0017822
                     69,                0.85221,                0.82132,                 1.1168,                0.96973,                0.94118,                0.98974,                0.81918,                 0.8943,                 1.2433,                 1.3109,              0.0017789,              0.0017789,              0.0017789
                     70,                0.85151,                0.72984,                 1.0616,                      1,                0.98604,                  0.995,                0.84692,                0.79689,                 1.0323,                 1.2534,              0.0017756,              0.0017756,              0.0017756
                     71,                0.83202,                0.74981,                 1.0874,                0.98764,                      1,                  0.995,                 0.7831,                0.90459,                 1.0269,                 1.3283,              0.0017723,              0.0017723,              0.0017723
                     72,                0.85349,                0.78919,                 1.0825,                0.98299,                0.94118,                0.98364,                 0.7199,                 1.0073,                0.99721,                 1.4127,               0.001769,               0.001769,               0.001769
                     73,                0.78083,                0.73649,                 1.1006,                      1,                0.93807,                   0.97,                0.62405,                 1.2045,                 1.1042,                 1.4336,              0.0017657,              0.0017657,              0.0017657
                     74,                0.85462,                0.69328,                 1.0515,                      1,                0.93246,                0.98974,                0.71516,                 0.9987,                0.98681,                 1.4302,              0.0017624,              0.0017624,              0.0017624
                     75,                0.77807,                0.76752,                 1.1037,                      1,                0.93246,                0.98974,                0.71516,                 0.9987,                0.98681,                 1.4302,              0.0017591,              0.0017591,              0.0017591
                     76,                0.86333,                0.76174,                 1.0813,                0.99547,                      1,                  0.995,                0.76989,                 0.8845,                0.88417,                 1.4648,              0.0017558,              0.0017558,              0.0017558
                     77,                0.92705,                0.80849,                 1.1345,                 0.9707,                      1,                  0.995,                0.66082,                 1.0937,                 1.0144,                 1.4918,              0.0017525,              0.0017525,              0.0017525
                     78,                 0.9062,                0.85044,                 1.1096,                0.99205,                      1,                  0.995,                0.68622,                 1.0236,                0.99046,                 1.3726,              0.0017492,              0.0017492,              0.0017492
                     79,                0.90366,                0.81647,                 1.1755,                0.99403,                      1,                  0.995,                0.75586,                0.79691,                0.91726,                 1.2368,              0.0017459,              0.0017459,              0.0017459
                     80,                0.87159,                0.75095,                 1.1218,                0.99395,                      1,                  0.995,                0.80812,                 0.7418,                 0.8861,                 1.1776,              0.0017426,              0.0017426,              0.0017426
                     81,                0.88078,                0.76793,                 1.1428,                0.99256,                      1,                  0.995,                0.82126,                0.73438,                0.85915,                  1.149,              0.0017393,              0.0017393,              0.0017393
                     82,                 0.8251,                0.71471,                 1.1091,                0.99403,                      1,                  0.995,                0.82028,                0.78591,                0.87961,                 1.1864,               0.001736,               0.001736,               0.001736
                     83,                0.87317,                0.74925,                 1.1231,                0.98754,                      1,                  0.995,                0.79997,                0.87349,                0.94958,                 1.2474,              0.0017327,              0.0017327,              0.0017327
                     84,                0.88602,                0.75468,                 1.1301,                0.98024,                      1,                  0.995,                0.74153,                0.98831,                 1.0323,                 1.3019,              0.0017294,              0.0017294,              0.0017294
                     85,                0.88767,                0.74295,                 1.1474,                0.97766,                      1,                  0.995,                0.79646,                0.88338,                0.94932,                 1.2872,              0.0017261,              0.0017261,              0.0017261
                     86,                0.79891,                0.68969,                 1.0904,                0.99852,                      1,                  0.995,                0.80034,                0.91864,                0.91197,                 1.3112,              0.0017228,              0.0017228,              0.0017228
                     87,                0.86657,                0.69433,                 1.1165,                      1,                0.99554,                  0.995,                0.83629,                0.85467,                0.88371,                 1.2644,              0.0017195,              0.0017195,              0.0017195
                     88,                0.88757,                0.76657,                 1.1584,                      1,                0.99034,                  0.995,                0.83969,                0.81406,                0.89391,                 1.2765,              0.0017162,              0.0017162,              0.0017162
                     89,                0.80425,                 0.6725,                 1.0516,                0.98993,                      1,                  0.995,                0.80591,                0.81296,                0.88293,                 1.3021,              0.0017129,              0.0017129,              0.0017129
                     90,                 0.7917,                0.70251,                 1.0815,                0.99107,                      1,                  0.995,                0.82991,                 0.7435,                0.80639,                 1.2281,              0.0017096,              0.0017096,              0.0017096
                     91,                0.77346,                0.65401,                 1.0637,                0.99107,                      1,                  0.995,                0.82991,                 0.7435,                0.80639,                 1.2281,              0.0017063,              0.0017063,              0.0017063
                     92,                0.86128,                0.69874,                 1.1214,                0.99321,                      1,                  0.995,                0.80869,                0.74851,                0.79656,                  1.244,               0.001703,               0.001703,               0.001703
                     93,                0.91403,                0.73046,                 1.1487,                0.99643,                      1,                  0.995,                0.75041,                0.94318,                0.75344,                 1.3921,              0.0016997,              0.0016997,              0.0016997
                     94,                0.87241,                0.76401,                 1.1431,                      1,                0.99793,                  0.995,                0.72132,                0.92266,                0.73188,                 1.3762,              0.0016964,              0.0016964,              0.0016964
                     95,                0.83299,                0.68915,                 1.0682,                0.99617,                      1,                  0.995,                0.74385,                0.83486,                0.71149,                 1.3297,              0.0016931,              0.0016931,              0.0016931
                     96,                 0.8252,                0.69216,                 1.0806,                0.99158,                      1,                  0.995,                0.75907,                0.77604,                0.69847,                 1.3298,              0.0016898,              0.0016898,              0.0016898
                     97,                 0.8651,                0.67942,                 1.1237,                0.99449,                      1,                  0.995,                0.78098,                0.72715,                0.69301,                  1.324,              0.0016865,              0.0016865,              0.0016865
                     98,                  0.824,                0.65792,                 1.1025,                      1,                 0.9921,                  0.995,                0.79413,                 0.8037,                0.77514,                 1.3645,              0.0016832,              0.0016832,              0.0016832
                     99,                 0.9016,                0.74027,                 1.1284,                0.99619,                      1,                  0.995,                0.79949,                0.72505,                0.75022,                 1.2768,              0.0016799,              0.0016799,              0.0016799
                    100,                0.79945,                0.65558,                 1.0751,                0.99216,                      1,                  0.995,                 0.8114,                0.74103,                0.72597,                 1.2831,              0.0016766,              0.0016766,              0.0016766
                    101,                0.69431,                 0.5897,                 1.0194,                0.99593,                      1,                  0.995,                 0.7796,                0.83415,                0.68053,                 1.3511,              0.0016733,              0.0016733,              0.0016733
                    102,                0.79426,                0.65714,                 1.0488,                0.99522,                      1,                  0.995,                0.76045,                0.82682,                0.70302,                 1.3139,                0.00167,                0.00167,                0.00167
                    103,                0.78863,                0.63442,                 1.0567,                0.99068,                      1,                  0.995,                0.78811,                0.73749,                0.75432,                 1.2115,              0.0016667,              0.0016667,              0.0016667
                    104,                 0.7106,                 0.5885,                 1.0105,                0.98892,                      1,                  0.995,                 0.8003,                0.75713,                0.81199,                 1.2205,              0.0016634,              0.0016634,              0.0016634
                    105,                0.77177,                0.68496,                 1.0737,                0.98981,                      1,                  0.995,                0.78378,                0.79144,                0.82562,                  1.228,              0.0016601,              0.0016601,              0.0016601
                    106,                0.80261,                0.66126,                 1.0831,                0.99549,                      1,                  0.995,                0.74458,                0.82224,                0.76784,                 1.2319,              0.0016568,              0.0016568,              0.0016568
                    107,                 0.7909,                  0.646,                 1.0671,                0.99549,                      1,                  0.995,                0.74458,                0.82224,                0.76784,                 1.2319,              0.0016535,              0.0016535,              0.0016535
                    108,                0.77294,                0.67022,                 1.0769,                0.99612,                      1,                  0.995,                0.72938,                0.81051,                0.75246,                  1.215,              0.0016502,              0.0016502,              0.0016502
                    109,                0.80963,                0.65838,                 1.1013,                 0.9956,                      1,                  0.995,                0.69353,                0.89926,                0.87147,                 1.2627,              0.0016469,              0.0016469,              0.0016469
                    110,                0.83415,                0.63542,                 1.1011,                0.99326,                      1,                  0.995,                0.73076,                0.89482,                0.88128,                 1.2967,              0.0016436,              0.0016436,              0.0016436
                    111,                0.87381,                0.68056,                 1.1148,                0.99115,                      1,                  0.995,                0.77422,                0.80642,                0.84652,                 1.2937,              0.0016403,              0.0016403,              0.0016403
                    112,                0.75317,                0.61465,                 1.0506,                0.99211,                      1,                  0.995,                0.77098,                0.76876,                0.82716,                 1.2488,               0.001637,               0.001637,               0.001637
                    113,                0.81008,                0.65461,                 1.0913,                      1,                0.99316,                  0.995,                 0.6626,                0.93671,                 1.1025,                 1.2488,              0.0016337,              0.0016337,              0.0016337
                    114,                0.82165,                0.64565,                 1.0663,                0.97904,                      1,                  0.995,                0.78965,                0.89133,                0.97299,                  1.226,              0.0016304,              0.0016304,              0.0016304
                    115,                0.80591,                0.61818,                 1.0792,                0.98849,                      1,                  0.995,                0.84311,                0.84036,                0.78385,                 1.2644,              0.0016271,              0.0016271,              0.0016271
                    116,                0.86585,                 0.6708,                 1.0851,                0.99206,                      1,                  0.995,                0.84555,                0.73163,                0.63067,                  1.243,              0.0016238,              0.0016238,              0.0016238
                    117,                0.80048,                0.65761,                  1.083,                0.99537,                      1,                  0.995,                0.83359,                 0.7409,                0.59861,                 1.1876,              0.0016205,              0.0016205,              0.0016205
                    118,                0.84715,                0.63851,                 1.0952,                0.99569,                      1,                  0.995,                0.81359,                 0.6785,                0.61966,                 1.1601,              0.0016172,              0.0016172,              0.0016172
                    119,                0.76858,                 0.5949,                 1.0305,                0.99606,                      1,                  0.995,                0.84973,                0.63438,                0.59023,                 1.1719,              0.0016139,              0.0016139,              0.0016139
                    120,                0.77236,                0.59033,                 1.0642,                0.99508,                      1,                  0.995,                0.86707,                0.64028,                0.62914,                 1.1536,              0.0016106,              0.0016106,              0.0016106
                    121,                0.79227,                0.58972,                 1.0419,                0.99581,                      1,                  0.995,                0.86002,                 0.6961,                0.60913,                 1.1534,              0.0016073,              0.0016073,              0.0016073
                    122,                0.79776,                0.62188,                 1.0478,                0.99608,                      1,                  0.995,                0.82029,                0.76666,                0.60836,                 1.1354,               0.001604,               0.001604,               0.001604
                    123,                0.73341,                0.55433,                 1.0174,                0.99608,                      1,                  0.995,                0.82029,                0.76666,                0.60836,                 1.1354,              0.0016007,              0.0016007,              0.0016007
                    124,                0.80476,                0.59891,                 1.0495,                0.99604,                      1,                  0.995,                0.79923,                0.76755,                0.58471,                 1.1156,              0.0015974,              0.0015974,              0.0015974
                    125,                0.80932,                0.58978,                 1.0584,                0.99606,                      1,                  0.995,                0.82681,                 0.7273,                0.61389,                 1.1012,              0.0015941,              0.0015941,              0.0015941
                    126,                0.72882,                0.55815,                 1.0347,                0.99524,                      1,                  0.995,                0.84603,                 0.7159,                0.68792,                 1.1293,              0.0015908,              0.0015908,              0.0015908
                    127,                0.79685,                0.62012,                 1.0612,                0.99478,                      1,                  0.995,                0.77021,                0.81096,                0.73551,                 1.2091,              0.0015875,              0.0015875,              0.0015875
                    128,                0.89303,                0.68489,                 1.0861,                0.99348,                      1,                  0.995,                0.78786,                0.88175,                0.71359,                 1.2421,              0.0015842,              0.0015842,              0.0015842
                    129,                 0.8126,                0.61942,                 1.0693,                 0.9936,                      1,                  0.995,                 0.7955,                0.88063,                0.74969,                  1.264,              0.0015809,              0.0015809,              0.0015809
                    130,                0.79933,                0.66564,                 1.0622,                 0.9955,                      1,                  0.995,                0.79514,                0.87097,                 0.7574,                  1.346,              0.0015776,              0.0015776,              0.0015776
                    131,                0.86655,                0.61239,                 1.0623,                0.99636,                      1,                  0.995,                0.76272,                0.84766,                0.68671,                 1.2701,              0.0015743,              0.0015743,              0.0015743
                    132,                0.97538,                0.61974,                 1.1245,                0.99589,                      1,                  0.995,                 0.7505,                0.80507,                0.67104,                 1.1687,               0.001571,               0.001571,               0.001571
                    133,                0.90743,                0.63718,                 1.1031,                0.99601,                      1,                  0.995,                0.82568,                0.67385,                0.69354,                 1.1273,              0.0015677,              0.0015677,              0.0015677
